"state","stateab","year.x","electors","year.y","weeks_left","days_left","party","candidate","poll_date","poll_support","before_convention"
"Arizona","AZ",2024,11,2024,28,193,"DEM","Biden","2024-04-26",39.6222,TRUE
"Arizona","AZ",2024,11,2024,28,194,"REP","Trump","2024-04-25",43.217,TRUE
"Arizona","AZ",2024,11,2024,28,194,"DEM","Biden","2024-04-25",38.93715,TRUE
"Arizona","AZ",2024,11,2024,28,195,"REP","Trump","2024-04-24",43.4372,TRUE
"Arizona","AZ",2024,11,2024,28,195,"DEM","Biden","2024-04-24",38.9374,TRUE
"Arizona","AZ",2024,11,2024,28,196,"REP","Trump","2024-04-23",42.66405,TRUE
"Arizona","AZ",2024,11,2024,28,196,"DEM","Biden","2024-04-23",38.51265,TRUE
"Arizona","AZ",2024,11,2024,28,197,"REP","Trump","2024-04-22",42.6659,TRUE
"Arizona","AZ",2024,11,2024,28,197,"DEM","Biden","2024-04-22",38.53245,TRUE
"Arizona","AZ",2024,11,2024,28,198,"REP","Trump","2024-04-21",43.0306,TRUE
"Arizona","AZ",2024,11,2024,28,198,"DEM","Biden","2024-04-21",38.27755,TRUE
"Arizona","AZ",2024,11,2024,28,199,"REP","Trump","2024-04-20",43.2169,TRUE
"Arizona","AZ",2024,11,2024,28,199,"DEM","Biden","2024-04-20",38.42135,TRUE
"Arizona","AZ",2024,11,2024,29,200,"REP","Trump","2024-04-19",43.3671,TRUE
"Arizona","AZ",2024,11,2024,29,200,"DEM","Biden","2024-04-19",38.6043,TRUE
"Arizona","AZ",2024,11,2024,29,201,"REP","Trump","2024-04-18",43.36645,TRUE
"Arizona","AZ",2024,11,2024,29,201,"DEM","Biden","2024-04-18",38.72645,TRUE
"Arizona","AZ",2024,11,2024,29,202,"REP","Trump","2024-04-17",43.25805,TRUE
"Arizona","AZ",2024,11,2024,29,202,"DEM","Biden","2024-04-17",38.5576,TRUE
"Arizona","AZ",2024,11,2024,29,203,"REP","Trump","2024-04-16",43.11395,TRUE
"Arizona","AZ",2024,11,2024,29,203,"DEM","Biden","2024-04-16",38.71145,TRUE
"Arizona","AZ",2024,11,2024,29,204,"REP","Trump","2024-04-15",43.55375,TRUE
"Arizona","AZ",2024,11,2024,29,204,"DEM","Biden","2024-04-15",39.06675,TRUE
"Arizona","AZ",2024,11,2024,29,205,"REP","Trump","2024-04-14",43.5772,TRUE
"Arizona","AZ",2024,11,2024,29,205,"DEM","Biden","2024-04-14",39.09795,TRUE
"Arizona","AZ",2024,11,2024,29,206,"REP","Trump","2024-04-13",43.68035,TRUE
"Arizona","AZ",2024,11,2024,29,206,"DEM","Biden","2024-04-13",38.96335,TRUE
"Arizona","AZ",2024,11,2024,30,207,"REP","Trump","2024-04-12",43.7164,TRUE
"Arizona","AZ",2024,11,2024,30,207,"DEM","Biden","2024-04-12",38.83855,TRUE
"Arizona","AZ",2024,11,2024,30,208,"REP","Trump","2024-04-11",43.7415,TRUE
"Arizona","AZ",2024,11,2024,30,208,"DEM","Biden","2024-04-11",38.94675,TRUE
"Arizona","AZ",2024,11,2024,30,209,"REP","Trump","2024-04-10",43.67385,TRUE
"Arizona","AZ",2024,11,2024,30,209,"DEM","Biden","2024-04-10",39.3856,TRUE
"Arizona","AZ",2024,11,2024,30,210,"REP","Trump","2024-04-09",43.7296,TRUE
"Arizona","AZ",2024,11,2024,30,210,"DEM","Biden","2024-04-09",39.41305,TRUE
"Arizona","AZ",2024,11,2024,30,211,"REP","Trump","2024-04-08",43.79995,TRUE
"Arizona","AZ",2024,11,2024,30,211,"DEM","Biden","2024-04-08",39.2767,TRUE
"Arizona","AZ",2024,11,2024,30,212,"REP","Trump","2024-04-07",43.94,TRUE
